PRICE;MIN_NIGHTS;QTD_VIEWS;REVIEWS_MONTH;CALC_HOST_LISTINGS_COUNT;AVAILABILITY_365;SK_DT_LAST_REVIEW;SK_ANUNCIO;SK_HOST;SK_ROOM_TYPE;SK_LOCALIDADE
199;1;11;4;1;113;07/07/2019;36868;29546;3;108
300;2;1;1;1;2;23/06/2019;42269;33010;3;108
95;1;6;2;1;35;02/07/2019;43537;33813;3;108
137;1;4;2;1;273;02/06/2019;43670;33905;3;108
95;2;6;3;1;348;01/07/2019;45158;34767;3;108
130;1;5;5;1;350;07/07/2019;45248;34823;3;108
275;2;0;;2;69;;45315;6789;3;108
96;2;4;4;1;9;05/07/2019;46189;35475;3;108
120;1;0;;1;81;;47723;36587;3;108
129;2;1;1;1;362;30/06/2019;48000;36807;3;108
90;1;0;;1;39;;48271;37008;3;108
99;5;441;4;1;226;24/06/2019;259;225;3;58
115;2;198;2;1;257;31/05/2019;318;279;3;58
110;4;30;0;1;363;16/06/2019;387;329;3;58
129;1;414;4;1;245;03/07/2019;437;376;3;58
107;30;21;0;8;200;01/12/2018;507;432;3;58
95;30;24;0;8;271;04/04/2019;508;432;3;58
70;5;1;0;1;0;30/08/2016;822;697;3;58
192;3;7;0;1;0;18/04/2017;830;703;3;58
107;30;24;0;8;262;30/04/2019;1193;432;3;58
150;3;74;1;2;365;15/05/2019;1259;1077;3;58
175;14;0;;1;0;;1396;1200;3;58
245;6;1;0;1;164;29/08/2015;1600;1379;3;58
89;3;17;0;1;0;15/03/2019;1659;1431;3;58
140;5;15;0;1;260;31/05/2019;1678;1448;3;58
107;30;15;0;8;268;30/04/2019;1908;432;3;58
95;30;0;;1;0;;1953;1687;3;58
85;2;260;3;1;254;03/07/2019;2132;1844;3;58
130;1;58;1;1;301;06/07/2019;2178;1881;3;58
160;2;13;0;2;56;14/10/2018;2262;1953;3;58
119;7;11;1;1;143;30/04/2019;2416;2089;3;58
100;1;102;2;1;33;03/07/2019;2523;2183;3;58
80;70;44;1;1;198;26/04/2019;2554;2209;3;58
70;20;75;1;1;364;15/09/2018;2675;2312;3;58
140;2;13;0;1;0;01/09/2014;2737;2363;3;58
108;4;3;0;1;0;01/12/2015;2786;2406;3;58
130;4;17;0;1;347;06/05/2017;3220;2773;3;58
180;3;77;1;1;254;11/06/2019;3252;2804;3;58
150;1;89;1;1;148;20/01/2019;3274;2824;3;58
100;3;1;0;1;0;01/01/2018;3380;2919;3;58
149;3;19;1;2;291;07/07/2019;3386;2925;3;58
100;1;2;0;2;0;30/12/2015;3401;2938;3;58
130;5;0;;1;0;;3490;3021;3;58
65;4;2;0;1;0;21/04/2014;3708;3215;3;58
83;14;0;;1;0;;3950;3426;3;58
125;1;13;0;1;0;28/09/2015;3961;3437;3;58
130;4;45;1;1;170;16/06/2019;4266;3705;3;58
130;4;56;2;1;0;15/06/2019;4300;3732;3;58
200;5;22;0;1;188;17/05/2018;4549;3936;3;58
119;2;217;4;1;214;21/06/2019;4565;3951;3;58
97;3;33;1;1;0;02/01/2016;4762;4131;3;58
99;2;7;0;1;0;04/09/2018;4814;4177;3;58
120;3;29;1;1;0;02/08/2016;5017;4360;3;58
115;2;5;0;1;0;30/12/2015;5029;4372;3;58
100;2;141;2;1;216;02/07/2019;5205;4514;3;58
170;3;116;2;2;355;13/06/2019;5218;4525;3;58
110;2;47;1;2;0;07/07/2019;5643;4870;3;58
160;2;1;0;1;0;03/07/2017;5731;4939;3;58
96;1;196;3;1;316;07/07/2019;5796;4997;3;58
125;2;112;2;2;0;18/06/2018;5852;5049;3;58
110;3;3;0;1;342;07/01/2019;5853;5050;3;58
180;2;7;0;1;90;19/12/2018;5962;5142;3;58
80;1;3;0;1;0;02/01/2016;6180;5329;3;58
100;2;18;0;1;83;27/05/2019;6207;5351;3;58
105;25;14;0;1;277;31/07/2018;6238;5377;3;58
125;5;27;0;1;2;05/06/2019;6241;5380;3;58
98;6;38;1;1;306;02/06/2019;6253;5391;3;58
150;3;149;3;2;133;06/07/2019;6359;5479;3;58
195;3;86;2;2;248;08/06/2019;6413;5522;3;58
90;14;0;;1;0;;6654;5739;3;58
150;2;2;0;1;0;24/05/2015;6674;5756;3;58
150;1;3;0;1;0;15/05/2015;6739;5813;3;58
124;14;8;0;1;0;03/01/2019;6754;5828;3;58
112;7;5;0;1;0;04/10/2016;6778;5847;3;58
125;1;0;;1;0;;6798;5867;3;58
99;1;38;1;2;263;28/06/2019;6836;5901;3;58
107;30;15;0;8;311;04/12/2018;6902;432;3;58
72;3;36;1;1;10;28/06/2019;6966;6008;3;58
300;7;1;0;1;42;01/01/2019;7317;6314;3;58
105;1;7;0;1;0;22/10/2017;7500;6465;3;58
90;2;16;0;1;0;31/03/2019;7747;6659;3;58
125;3;3;0;1;0;11/06/2015;7906;6791;3;58
200;7;2;0;1;0;18/09/2016;8082;6945;3;58
122;6;0;;1;13;;8291;7124;3;58
155;6;4;0;1;173;01/01/2017;8435;7253;3;58
120;1;0;;1;0;;8776;7548;3;58
150;3;3;0;1;0;01/08/2016;8824;7590;3;58
135;1;229;5;3;89;16/06/2019;8898;7637;3;58
300;2;13;0;1;365;12/10/2016;8967;7697;3;58
100;4;2;0;1;0;31/12/2015;9034;7752;3;58
105;1;5;0;1;0;13/08/2016;9067;7781;3;58
80;5;17;0;1;12;07/04/2019;9270;7955;3;58
70;4;10;0;1;0;10/10/2017;9330;8010;3;58
125;2;0;;1;0;;9629;8288;3;58
120;1;3;0;1;0;20/08/2015;9641;8300;3;58
95;4;1;0;1;0;08/07/2016;9741;8393;3;58
100;10;7;0;1;0;29/06/2019;9905;8541;3;58
150;3;21;0;2;349;19/06/2019;9953;4525;3;58
65;14;0;;1;0;;9961;8595;3;58
289;2;176;4;2;309;30/06/2019;10138;8752;3;58
58;30;7;0;4;134;19/03/2019;10291;1884;3;58
100;30;61;1;3;224;28/03/2019;10306;8888;3;58
75;1;0;;1;0;;10410;8978;3;58
100;2;4;0;1;0;29/11/2015;10414;8981;3;58
100;1;2;0;1;0;21/09/2015;10423;8988;3;58
87;3;151;3;1;210;17/06/2019;10493;9052;3;58
70;2;13;0;1;159;11/01/2019;10560;9106;3;58
135;7;2;0;1;157;02/10/2015;10622;9159;3;58
140;1;2;0;1;0;02/01/2016;10703;9224;3;58
85;3;25;1;1;0;03/06/2019;10757;9271;3;58
150;14;0;;2;0;;10854;9031;3;58
130;5;2;0;2;0;31/05/2019;10974;9455;3;58
75;3;1;0;1;0;31/08/2016;11188;9650;3;58
135;3;11;0;1;0;02/10/2016;11233;9687;3;58
72;3;7;0;1;0;18/01/2016;11321;9758;3;58
120;1;1;0;2;0;27/12/2015;11845;3474;3;58
70;1;1;0;1;0;11/11/2015;11988;10329;3;58
99;4;4;0;1;0;04/01/2019;12017;10352;3;58
65;30;32;1;1;67;23/09/2017;12050;10382;3;58
280;2;0;;1;0;;12358;10653;3;58
150;3;0;;1;220;;12425;10706;3;58
130;3;39;1;1;331;30/06/2019;12535;10798;3;58
239;3;8;0;4;274;02/01/2019;12575;10832;3;58
100;7;2;0;1;0;06/08/2016;12705;10950;3;58
125;8;0;;1;0;;12783;11021;3;58
225;4;0;;1;0;;12840;11068;3;58
100;3;1;0;1;0;28/12/2015;12852;11079;3;58
65;2;92;2;1;12;03/07/2019;12987;11196;3;58
150;1;1;0;1;0;03/01/2016;13042;11232;3;58
189;1;0;;1;0;;13205;11367;3;58
99;5;15;0;1;0;01/06/2018;13247;11401;3;58
105;1;0;;1;0;;13291;11440;3;58
90;2;0;;1;0;;13408;11531;3;58
135;3;44;1;1;0;02/01/2018;13608;11698;3;58
125;2;26;1;1;0;14/10/2017;13618;11707;3;58
275;2;147;3;2;325;05/07/2019;13696;8752;3;58
130;3;50;1;2;352;01/07/2019;13998;1077;3;58
75;1;0;;1;0;;14083;12096;3;58
112;1;2;0;1;0;28/05/2017;14492;12449;3;58
90;2;101;3;1;266;28/06/2019;14517;12471;3;58
90;2;28;1;1;0;31/12/2018;14649;12576;3;58
190;2;1;0;1;0;26/03/2016;14744;12643;3;58
95;3;1;0;1;0;26/03/2016;14814;12700;3;58
165;1;0;;1;0;;15157;12955;3;58
120;1;1;0;1;0;12/06/2016;15398;13149;3;58
120;7;1;0;1;0;05/06/2016;15473;13209;3;58
125;1;10;0;1;0;11/07/2016;15628;13339;3;58
215;1;0;;1;0;;15694;13393;3;58
135;5;18;0;1;363;26/05/2019;15752;13433;3;58
190;3;32;1;1;53;09/06/2019;15759;13440;3;58
125;3;21;1;1;345;25/06/2019;15801;13476;3;58
68;4;11;0;1;0;11/10/2017;15857;13523;3;58
125;1;0;;1;0;;15881;13544;3;58
110;21;0;;1;0;;16193;13782;3;58
110;13;1;0;1;0;01/09/2016;16255;13822;3;58
99;3;94;3;1;1;27/05/2019;16423;13954;3;58
69;4;0;;1;0;;16461;13984;3;58
300;4;4;0;1;0;05/08/2018;16620;14121;3;58
99;31;4;0;1;5;31/10/2018;16668;14161;3;58
200;2;18;0;1;6;17/03/2019;16707;14196;3;58
99;1;185;5;1;211;19/06/2019;16756;14236;3;58
74;2;0;;1;0;;16771;14247;3;58
98;4;0;;1;0;;17018;14431;3;58
79;21;0;;1;0;;17067;14470;3;58
119;2;19;1;1;0;31/05/2019;17136;14521;3;58
125;25;5;0;1;0;14/11/2016;17216;14589;3;58
90;1;2;0;1;0;06/08/2016;17272;14643;3;58
205;3;50;1;1;324;03/07/2019;17324;14689;3;58
110;5;0;;1;0;;17630;14952;3;58
115;2;64;2;1;89;01/07/2019;17720;15027;3;58
135;2;135;4;1;168;06/07/2019;17866;15143;3;58
65;30;6;0;8;201;19/06/2019;17912;432;3;58
150;3;64;2;1;264;07/07/2019;17964;15222;3;58
120;2;13;0;1;115;25/06/2018;18247;15464;3;58
122;2;128;4;1;255;15/06/2019;18266;15480;3;58
99;2;154;4;1;283;30/06/2019;18288;15499;3;58
200;2;0;;2;363;;18609;300;3;58
117;30;7;0;8;241;04/04/2019;18626;432;3;58
125;5;2;0;1;0;10/04/2017;18860;15942;3;58
180;4;45;1;1;351;30/06/2019;18877;15957;3;58
500;3;3;0;2;0;29/06/2017;18880;13000;3;58
149;4;5;0;1;66;07/04/2018;19268;16231;3;58
129;20;0;;1;0;;19274;16236;3;58
80;2;1;0;1;0;23/01/2017;19346;16297;3;58
110;2;67;2;1;191;24/06/2019;19781;16642;3;58
100;1;131;4;1;8;02/07/2019;19816;16670;3;58
100;4;78;3;1;201;07/07/2019;19893;16735;3;58
74;2;21;1;1;0;13/09/2018;19916;16755;3;58
95;4;20;1;1;0;19/02/2018;19979;16802;3;58
110;21;6;0;1;0;19/01/2018;19988;16809;3;58
101;17;9;0;1;0;15/11/2017;20031;16849;3;58
95;2;9;0;1;212;26/08/2017;20199;16979;3;58
150;5;2;0;2;0;01/01/2019;20224;16998;3;58
110;30;0;;1;0;;20355;17107;3;58
99;3;0;;1;0;;20371;17122;3;58
225;7;1;0;1;0;30/12/2016;20613;17313;3;58
79;3;2;0;1;0;01/01/2019;20615;17315;3;58
175;4;12;0;1;42;24/06/2019;21260;17836;3;58
125;2;14;0;1;0;07/10/2018;21427;17974;3;58
100;7;4;0;1;0;29/05/2019;21510;18042;3;58
150;7;12;0;1;3;31/05/2019;21597;18109;3;58
180;2;70;3;1;175;01/07/2019;21628;18129;3;58
130;4;0;;1;83;;21761;18238;3;58
75;1;73;3;1;273;23/06/2019;21792;18253;3;58
250;2;0;;1;0;;22345;18687;3;58
99;4;1;0;1;0;09/07/2017;22742;19001;3;58
99;2;68;3;1;0;01/07/2019;22919;19142;3;58
125;2;49;2;5;86;17/03/2019;23294;19434;3;58
199;1;5;0;1;0;17/12/2017;23839;19881;3;58
90;3;30;1;1;0;29/08/2018;23884;19920;3;58
150;7;1;0;1;0;12/09/2017;23898;19933;3;58
80;4;6;0;1;0;01/09/2018;24045;20056;3;58
70;30;10;0;1;3;21/08/2018;24055;20063;3;58
137;2;3;0;1;0;27/10/2017;24587;20499;3;58
95;3;19;1;1;0;08/01/2018;24712;20600;3;58
200;7;10;0;3;247;17/12/2017;24717;8888;3;58
165;6;0;;1;0;;24772;20651;3;58
200;2;1;0;1;0;24/11/2017;24904;20753;3;58
135;2;19;1;1;310;01/07/2019;24910;20757;3;58
80;2;13;1;1;0;23/05/2019;24912;20759;3;58
110;4;6;0;1;0;11/06/2019;25054;20877;3;58
120;2;2;0;1;0;26/08/2017;25057;20880;3;58
110;2;33;1;2;305;20/06/2019;25058;20881;3;58
120;3;11;0;1;6;01/01/2019;25113;20925;3;58
600;30;1;0;3;220;26/12/2017;25511;8888;3;58
106;4;1;0;1;0;10/09/2017;25604;21307;3;58
250;3;3;0;1;1;02/01/2018;25657;21349;3;58
93;7;1;0;1;0;17/09/2017;26063;21655;3;58
95;30;48;3;5;217;23/06/2019;26114;21695;3;58
179;3;5;0;1;0;22/04/2019;26126;21700;3;58
180;4;41;2;1;120;05/07/2019;26531;22011;3;58
185;9;6;0;1;15;10/06/2019;26681;22123;3;58
86;4;3;0;1;0;01/01/2018;26694;22129;3;58
250;3;1;0;1;180;02/01/2018;27023;22366;3;58
108;4;11;1;1;0;03/09/2018;27249;22546;3;58
123;1;56;3;1;126;14/06/2019;27269;22561;3;58
150;3;3;0;2;0;23/10/2018;27438;22079;3;58
100;3;1;0;1;0;23/10/2018;27570;22805;3;58
70;1;0;;1;0;;27647;22865;3;58
95;6;2;0;1;0;09/12/2017;27970;23122;3;58
92;1;0;;1;0;;28088;23213;3;58
125;3;10;1;1;64;26/04/2019;28126;23239;3;58
150;4;29;1;1;0;01/01/2019;28256;23345;3;58
95;1;64;3;2;96;22/06/2019;28395;23460;3;58
112;6;2;0;1;0;12/03/2018;28504;23549;3;58
280;2;69;4;1;307;27/06/2019;28636;23655;3;58
110;2;7;0;1;0;20/12/2018;28649;23663;3;58
70;4;1;0;1;0;05/01/2018;28707;23717;3;58
150;1;75;4;1;317;30/06/2019;28783;23780;3;58
71;98;0;;1;0;;28896;23874;3;58
100;4;0;;1;0;;28988;23945;3;58
135;2;44;2;1;83;20/06/2019;29079;24018;3;58
200;4;0;;1;0;;29273;24166;3;58
175;1;21;1;1;85;28/03/2019;29867;24631;3;58
60;6;11;1;11;299;30/06/2019;30207;24199;3;58
135;2;57;4;1;0;07/07/2019;30475;25092;3;58
325;2;2;2;2;365;03/07/2019;30669;24369;3;58
89;2;68;4;1;64;29/06/2019;30716;25257;3;58
105;30;25;3;5;235;08/06/2019;30777;21695;3;58
99;7;3;0;1;0;04/01/2019;31019;25476;3;58
120;1;6;0;1;117;12/03/2019;31264;25659;3;58
450;4;0;;2;89;;31294;23460;3;58
140;15;2;0;2;71;03/01/2019;31801;14212;3;58
149;2;47;3;3;308;25/06/2019;31830;2516;3;58
120;30;5;0;1;5;09/03/2019;31841;26073;3;58
101;10;0;;1;0;;31964;26172;3;58
125;3;3;0;1;0;25/06/2019;31970;26178;3;58
169;1;8;1;5;297;24/04/2019;31992;11213;3;58
118;3;1;0;2;0;11/08/2018;32176;26337;3;58
156;1;70;5;1;67;02/07/2019;32340;26462;3;58
96;3;10;1;1;0;11/09/2018;32417;26520;3;58
90;3;37;3;1;127;22/06/2019;32632;26676;3;58
250;4;5;0;1;1;03/09/2018;32766;26764;3;58
99;3;1;0;1;0;09/07/2018;33181;27067;3;58
100;5;5;1;1;0;29/06/2019;33225;27096;3;58
110;2;2;0;1;6;30/07/2018;33249;27109;3;58
150;2;46;4;2;121;21/06/2019;33758;27482;3;58
100;4;19;3;1;31;23/06/2019;33894;27571;3;58
120;3;23;2;1;16;10/06/2019;34620;28014;3;58
125;1;18;2;1;0;01/01/2019;34705;28080;3;58
120;1;5;1;3;0;27/05/2019;34852;13401;3;58
170;2;11;1;1;0;16/12/2018;34980;28263;3;58
130;2;3;0;2;0;04/01/2019;35110;16906;3;58
115;5;28;3;1;38;29/06/2019;35295;28469;3;58
160;6;2;0;1;19;21/11/2018;35319;28487;3;58
200;5;1;0;1;0;30/09/2018;35448;28573;3;58
90;2;8;1;1;0;18/01/2019;35591;28677;3;58
125;3;4;0;1;0;25/11/2018;35693;28753;3;58
150;6;1;0;1;0;07/04/2019;35926;28918;3;58
50;2;4;0;1;20;03/06/2019;36167;29072;3;58
149;2;35;4;1;362;22/06/2019;36418;29238;3;58
90;5;0;;2;0;;36862;29493;3;58
89;4;15;2;1;12;18/06/2019;36906;29571;3;58
76;1;7;1;5;326;13/06/2019;36970;2255;3;58
110;5;1;0;4;173;07/01/2019;36976;4383;3;58
74;5;3;1;1;52;21/05/2019;37044;29675;3;58
86;1;6;1;1;1;01/01/2019;37065;29688;3;58
349;2;27;3;1;303;04/07/2019;37189;29767;3;58
98;3;32;4;2;131;21/06/2019;37648;29258;3;58
100;5;2;0;1;40;11/06/2019;37765;30190;3;58
250;3;0;;2;0;;37794;30152;3;58
299;2;9;2;1;354;20/06/2019;37878;30266;3;58
103;5;1;0;1;0;01/01/2019;38066;30401;3;58
70;1;1;0;2;2;01/01/2019;38148;30461;3;58
165;3;2;0;1;0;06/05/2019;38172;30477;3;58
1500;7;0;;1;365;;38458;30663;3;58
250;14;2;0;1;341;28/06/2019;38667;30807;3;58
150;2;1;0;1;0;10/12/2018;38817;30819;3;58
80;4;0;;2;0;;38986;30934;3;58
179;2;29;5;3;116;07/07/2019;39390;30735;3;58
95;3;0;;1;0;;39394;31219;3;58
70;18;0;;1;178;;39641;31382;3;58
190;5;1;0;2;55;01/01/2019;39697;31422;3;58
200;2;23;4;1;265;30/06/2019;39830;31510;3;58
140;4;3;0;1;101;03/06/2019;39833;31512;3;58
150;5;0;;5;0;;40367;21079;3;58
120;3;0;;1;0;;40436;31914;3;58
130;1;9;4;2;162;24/06/2019;40457;5901;3;58
170;4;10;2;1;97;15/06/2019;40481;31942;3;58
95;2;0;;1;0;;40697;32082;3;58
79;4;0;;1;0;;40737;32104;3;58
125;7;2;1;1;0;03/04/2019;40781;32131;3;58
170;1;3;1;2;41;09/03/2019;40823;23772;3;58
75;5;2;0;1;0;04/03/2019;40869;32198;3;58
115;1;30;6;1;85;06/07/2019;40944;32238;3;58
144;2;19;5;1;18;06/07/2019;41124;32358;3;58
50;4;1;0;1;0;30/01/2019;41141;32370;3;58
90;3;14;3;1;251;17/06/2019;41292;32465;3;58
225;5;1;1;1;30;15/06/2019;41303;32471;3;58
89;3;18;4;1;0;27/06/2019;41545;32583;3;58
225;1;4;1;5;89;03/06/2019;41628;31816;3;58
220;1;12;3;7;308;04/07/2019;41686;32669;3;58
125;2;4;1;1;14;17/06/2019;41688;32670;3;58
180;1;12;3;1;82;02/07/2019;42008;32852;3;58
110;2;6;2;1;309;18/05/2019;42175;32946;3;58
170;1;1;1;1;60;12/05/2019;42207;32970;3;58
69;4;0;;1;2;;42279;33019;3;58
140;2;16;4;2;79;14/06/2019;42339;5049;3;58
109;14;1;1;2;52;30/06/2019;42975;16135;3;58
115;30;1;1;1;311;31/05/2019;43205;33619;3;58
160;2;1;0;1;7;22/04/2019;43262;33659;3;58
98;2;1;0;1;292;03/04/2019;43284;33674;3;58
360;3;10;4;1;206;01/07/2019;43455;33761;3;58
85;14;1;1;1;77;30/06/2019;43514;33803;3;58
115;3;1;0;2;188;28/04/2019;43614;30599;3;58
200;5;4;2;2;95;01/07/2019;43644;5523;3;58
125;1;14;5;1;328;01/07/2019;43649;33892;3;58
225;2;3;1;1;23;07/07/2019;43652;33893;3;58
250;3;13;5;1;76;26/06/2019;43918;34051;3;58
175;1;0;;1;185;;43924;34053;3;58
150;7;0;;1;342;;44012;34109;3;58
199;1;12;7;3;283;06/07/2019;44443;34357;3;58
150;1;7;3;1;25;16/06/2019;44666;34501;3;58
150;1;5;2;1;24;16/06/2019;44806;34590;3;58
140;3;5;5;1;254;07/07/2019;45054;34715;3;58
200;3;2;1;1;0;27/05/2019;45186;34779;3;58
125;3;1;1;1;13;24/05/2019;45211;34797;3;58
115;2;2;1;1;80;01/07/2019;45217;34802;3;58
84;1;0;;1;90;;45341;34890;3;58
83;2;1;1;1;16;04/06/2019;45353;34899;3;58
95;1;5;5;1;65;07/07/2019;46328;35573;3;58
140;7;1;1;1;82;15/06/2019;46437;35660;3;58
250;5;0;;1;22;;46550;35738;3;58
300;3;3;3;1;320;30/06/2019;46560;35746;3;58
125;2;2;2;1;22;24/06/2019;46613;35784;3;58
150;1;1;1;1;5;03/07/2019;46620;35790;3;58
75;20;0;;1;344;;46653;35814;3;58
275;2;2;2;1;279;01/07/2019;46655;35816;3;58
250;2;0;;1;282;;46665;35825;3;58
225;2;1;1;1;270;30/06/2019;46679;35837;3;58
125;2;5;5;1;24;03/07/2019;46683;35841;3;58
289;3;0;;1;253;;46699;35854;3;58
225;2;1;1;1;279;03/07/2019;46700;35855;3;58
85;1;1;1;1;27;23/06/2019;46754;35898;3;58
300;4;0;;1;26;;47142;36175;3;58
75;2;0;;1;14;;47153;36185;3;58
135;3;0;;1;227;;47520;36441;3;58
120;3;0;;1;105;;47521;36442;3;58
135;3;0;;1;109;;47524;36445;3;58
225;2;2;2;1;277;30/06/2019;47598;36497;3;58
215;2;2;2;2;153;07/07/2019;47636;27482;3;58
500;2;0;;1;157;;47777;36630;3;58
250;2;0;;1;354;;47875;36705;3;58
99;2;0;;1;94;;48154;36916;3;58
120;3;0;;1;32;;48373;37082;3;58
200;1;0;;1;2;;48374;37083;3;58
180;2;0;;1;365;;48470;37150;3;58
169;3;0;;1;151;;48555;37216;3;58
150;5;0;;1;348;;48576;37225;3;58
150;2;0;;1;359;;48611;37253;3;58
169;1;0;;4;28;;48824;25677;3;58
210;7;0;;1;12;;48843;37427;3;58
85;1;38;1;1;36;30/07/2017;19111;16129;3;199
180;3;46;2;1;334;02/07/2019;22044;18452;3;199
119;2;51;2;1;160;07/07/2019;23260;19406;3;199
95;2;2;0;2;0;22/08/2017;25266;15977;3;199
99;3;39;2;1;306;01/07/2019;27747;22940;3;199
150;1;13;2;1;0;02/01/2019;36907;29572;3;199
99;2;17;4;1;20;30/06/2019;41067;32314;3;199
400;1000;0;;1;362;;2856;2465;3;103
425;2;0;;1;0;;3755;3256;3;103
325;1;0;;1;0;;4339;3765;3;103
200;1;46;1;1;0;22/10/2017;4365;3789;3;103
600;30;2;0;1;0;27/05/2014;4416;3827;3;103
130;60;4;0;1;13;07/05/2015;5265;4560;3;103
325;30;9;0;1;0;17/06/2015;5266;4561;3;103
225;5;7;0;1;0;31/12/2015;5446;4705;3;103
225;3;2;0;1;0;03/11/2015;5474;4727;3;103
195;7;0;;1;0;;7894;6781;3;103
195;7;2;0;1;0;16/08/2015;8537;7343;3;103
100;21;0;;1;222;;8897;7636;3;103
200;1;0;;1;0;;10002;8631;3;103
165;30;6;0;1;43;26/04/2019;10609;9146;3;103
175;1;0;;1;0;;11864;10217;3;103
450;1;0;;1;0;;12031;10364;3;103
300;180;0;;1;0;;12332;10633;3;103
225;90;1;0;1;362;18/03/2016;13182;11348;3;103
130;1;0;;1;0;;13213;11374;3;103
245;3;59;1;1;184;16/06/2019;14110;12121;3;103
250;30;0;;12;280;;16279;11782;3;103
149;30;2;0;12;281;08/12/2017;18402;11782;3;103
105;30;0;;1;0;;18966;16019;3;103
200;1;4;0;1;0;25/06/2017;23343;19471;3;103
250;4;0;;1;0;;23485;19586;3;103
350;7;4;0;1;51;27/04/2019;23528;19622;3;103
390;2;0;;1;0;;23928;19955;3;103
300;2;1;0;1;0;01/01/2018;26815;22220;3;103
980;3;0;;1;0;;29675;24471;3;103
180;4;0;;1;0;;30526;25133;3;103
295;75;0;;1;55;;30927;25406;3;103
158;2;20;1;1;2;23/06/2019;31159;25586;3;103
91;28;5;0;1;47;16/05/2019;33642;27404;3;103
3750;1;0;;1;365;;34853;28175;3;103
